site,player,stat,line,sport,matched,reason,bestOddsLine,bestOddsPlayerNorm,matchType,altDelta
underdog,Victor Wembanyama,points,24.5,NBA,Y,ok,24.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,points,39.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,rebounds,11.5,NBA,Y,ok,11.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,assists,2.5,NBA,Y,ok,2.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,points,14.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,36.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,27.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,8.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,51.35,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,blocks,2.5,NBA,Y,ok,2.5,victor wembanyama,main,0.00
underdog,Victor Wembanyama,points,4.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,11.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,4.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,18.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,3.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,17.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Victor Wembanyama,points,5.5,NBA,N,line_diff,24.5,victor wembanyama,,
underdog,Jalen Brunson,points,26.5,NBA,Y,ok,26.5,jalen brunson,main,0.00
underdog,Karl-Anthony Towns,points,18.5,NBA,N,no_candidate,,,,
underdog,Karl-Anthony Towns,points,31.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,35.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,rebounds,10.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,rebounds,2.5,NBA,Y,ok,2.5,jalen brunson,main,0.00
underdog,Jalen Brunson,assists,5.5,NBA,Y,ok,5.5,jalen brunson,main,0.00
underdog,Karl-Anthony Towns,assists,2.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,9.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,points,12.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,29.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,points,29.5,NBA,N,no_candidate,,,,
underdog,Karl-Anthony Towns,points,20.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,32.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Jalen Brunson,points,8.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,points,3.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,11.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,points,6.5,NBA,N,no_candidate,,,,
underdog,Karl-Anthony Towns,points,36.25,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,39.85,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Jalen Brunson,points,5.5,NBA,N,line_diff,26.5,jalen brunson,,
underdog,Karl-Anthony Towns,points,4.5,NBA,N,no_candidate,,,,
underdog,Jalen Brunson,points,12.5,NBA,N,line_diff,26.5,jalen brunson,,
